346F3,348F3,bcutv8,GATSp5,GATSp7,GATSp6,GATSp8,Tac,bcutm8,ATSp8,SIC3,Shet,S9,MATSe6,GATSe7,bcutp10,MATSv7,MATSv6,GATSe8,GATSe6,Rpc,MATSm7,Smax11,DS,Smin16,S17,GATSm6,QHss,VSAEstate8,GATSm7,IC3,Smin8,label
-4.76,2.131,1.082,0.684,0.113,0.718,0,3.073,1.203,0,0.898,30.272,1.768,-0.769,0.783,1.596,1.178,-0.564,0,1.678,0.209,-0.028,0,11.078,0,0,0.119,0.158,28.874,0.052,4.005,0.437,0
-4.76,2.131,1.482,1.379,2.273,1.536,2.728,3.405,1.723,0.647,0.967,31.367,0.124,-0.289,2.403,1.777,-0.853,-0.186,2.884,1.71,0.195,-0.863,1.909,11.845,0.82,0.82,1.699,0.19,41,2.397,4.547,0.124,0
-4.76,2.131,1.717,0.649,2.668,1.516,0,3.527,2.087,0.346,0.891,38.145,0.265,-0.52,2.553,1.653,-1.306,-0.329,0,1.501,0.182,-0.339,1.737,11.583,0.226,2.444,1.471,0.216,37.011,1.916,4.085,0.265,0
-4.76,2.131,1.831,1.068,0.585,1.024,2.9,3.913,1.804,1.316,0.75,25.154,3.565,-0.194,0.518,1.775,0.387,-0.133,3.341,1.069,0.13,0.349,0,11.259,0,0,1.067,0.213,32.581,0.519,3.814,0.579,0
-4.76,2.131,1.541,0.794,3.126,1.572,0,3.549,2.085,0.346,0.891,40.319,0.215,-0.605,1.513,1.661,-1.346,-0.404,0,1.525,0.18,-0.28,1.642,11.589,0.086,1.832,1.472,0.216,36.347,1.844,4.085,0.215,0
-4.76,2.131,1.88,1.709,0.857,0.678,0.859,3.776,1.958,1.87,0.929,46.592,0.597,-0.265,1.408,1.72,-0.465,-0.294,1.654,1.071,0.17,-0.013,1.708,11.774,0.045,0.615,0.133,0.143,50.903,0.174,4.513,0.224,0
-4.76,2.131,1.273,1.31,0.221,0.934,0,3.635,1.542,0,0.879,37.671,0.74,0.291,0.64,1.635,0.753,0.209,0,0.915,0.176,0.47,0,11.209,0,0,0.917,0.203,35.833,0.608,4.084,0.145,0
-4.76,2.131,1.072,1.374,2.047,1.82,0.132,2.935,1.497,0.254,0.885,36.599,0.218,-0.697,2.361,1.672,-0.458,-0.759,0.301,1.756,0.218,-0.545,1.526,13.487,-0.34,0.379,1.597,0.138,28.398,2.532,4.002,0.218,1
-4.76,2.131,1.556,1.347,2.039,1.321,2.294,3.429,1.74,0.886,0.969,40.546,0.223,-0.281,2.055,1.793,-0.824,-0.233,2.764,1.347,0.187,-0.682,1.66,13.943,-0.33,0.452,1.213,0.169,33.769,1.886,4.607,0.223,0
-4.76,2.131,1.419,1.354,0.875,1.382,1.459,4.201,1.726,1.298,0.911,41.325,2.217,-0.542,0.917,1.69,0.029,-0.545,1.604,1.366,0.152,-0.011,0,11.254,0,0,1.369,0.208,41.167,0.912,4.379,0.412,0
-4.76,2.131,1.287,1.433,1.728,1.789,0.924,3.434,1.722,1.114,0.856,44.457,0.16,-0.781,1.75,1.704,-0.79,-0.812,1.257,1.783,0.187,-0.809,1.501,11.535,-0.025,0.637,1.784,0.14,48.833,1.75,3.974,0.16,0
-4.76,2.131,2.314,1.181,0.753,1.034,0.146,4.086,2.547,2.306,0.851,30.581,0.823,-0.173,0.841,1.901,0.129,-0.174,0.078,1.051,0.157,0.077,2,11.672,0.751,2.734,1.05,0.17,49.5,0.836,4.432,0.314,0
-4.76,2.131,2.237,1.419,0.803,1.258,0.876,4.92,2.439,2.34,0.893,43.427,2.389,-0.336,0.838,1.835,0.103,-0.331,1.02,1.231,0.165,0.055,1.894,12.369,0.926,0.926,1.233,0.188,53.833,0.835,4.753,0.233,0
-4.76,2.131,1.27,1.358,1.434,0.86,0.118,4.095,1.613,0.684,0.914,40.977,1.197,-0.035,1.562,1.651,-0.579,0.005,0.35,0.893,0.156,-0.636,0,11.224,0,0,0.888,0.207,39.667,1.555,4.244,0.329,0
-4.76,2.131,2.324,1,0.645,0.852,0.198,4.096,2.617,2.527,0.886,42.792,0.526,-0.25,1.021,1.876,0.154,-0.118,0.373,1.116,0.156,-0.203,1.784,11.739,0.552,3.303,1.108,0.162,44.908,1.336,4.615,0.256,0
-4.76,2.131,2.224,1.016,0.658,1.002,1.034,4.454,2.331,2,0.79,43.122,2.204,-0.214,0.731,1.786,0.209,-0.183,1.198,1.021,0.183,0.14,0,12.207,0,0,1.02,0.164,47.917,0.726,4.176,0.408,0
-4.76,2.131,2.517,1.22,1.325,0.821,0.895,5.991,2.628,2.762,0.89,58.387,6.696,-0.2,0.885,1.796,-0.093,-0.156,1.238,1.037,0.107,0.187,0,12.75,0,0,0.739,0.229,62.278,0.973,5.096,0.428,0
-4.76,2.131,1.069,1.746,0,2.444,0,2.85,0.967,0,0.842,28.68,0,-1,0,1.603,0,-1,0,2.444,0.238,0,1.765,12.362,0.387,0.387,2.444,0.155,35.583,0,3.754,0,0
-4.76,2.131,1.532,1.369,1.343,1.411,3.02,3.489,1.732,0.647,0.967,31.861,0.307,-0.185,1.682,1.791,0.153,-0.09,3.654,1.661,0.184,0.057,1.892,11.603,0.882,0.882,1.644,0.172,40,1.657,4.547,0.307,0
-4.76,2.131,1.475,1.19,1.171,0.642,0.401,4.183,1.721,1.325,0.895,35.832,1.674,0.29,1.212,1.711,-0.343,0.292,0.733,0.606,0.153,-0.394,0,11.265,0,0,0.606,0.212,37.667,1.211,4.349,0.43,0
-4.76,2.131,1.286,1.571,1.793,2.049,0.283,3.373,1.714,0.45,0.856,29.795,0.329,-0.799,1.87,1.685,-0.542,-0.825,0.873,2.137,0.19,-0.619,1.776,11.41,0.66,1.539,2.133,0.187,36.833,1.867,3.974,0.329,0
-4.76,2.131,1.288,1.355,4.044,1.955,0,2.765,1.724,0,0.942,30.061,0.301,-0.602,1.509,1.665,-1.126,-0.641,0,1.821,0.232,0.338,1.8,11.431,0.593,1.428,1.617,0.138,31.225,2.368,4.263,0.301,0
-4.76,2.131,1.803,0.753,1.845,1.51,2.503,3.205,1.879,1.491,0.926,29.126,0.25,-0.412,1.94,1.748,-0.583,-0.42,2.754,1.587,0.2,-0.57,1.962,11.619,0.702,0.702,1.583,0.146,41.5,1.935,4.45,0.25,0
-4.76,2.131,2.146,1.194,0.552,0.933,1.043,4.272,2.281,2.186,0.944,42.548,2.284,-0.145,0.593,1.822,0.326,-0.115,1.108,0.944,0.15,0.273,1.695,12.571,0.514,0.514,0.944,0.178,49.833,0.588,4.844,0.415,0
